operation,diesel_gallons_acre,diesel_l_ha
fertilization-spreading-dry-fertilizer-bulk-cart,0.15,1.41
fertilization-anhydrous-ammonia-30-inch-spacing,0.55,5.15
fertilization-other,0.35,3.28
tillage-shredding-cornstalks,0.45,4.22
tillage-moldboard-plow,1.7,15.93
tillage-subsoiler-ripper,1.7,15.93
tillage-disk-chisel-plow,1.3,12.18
tillage-chisel-plow,1.1,10.31
tillage-offset-disk,0.85,7.96
tillage-tandem-disk-plowed-field,0.65,6.09
tillage-tandem-disk-tilled-field,0.55,5.15
tillage-tandem-disk-cornstalks,0.45,4.22
tillage-field-cultivate-plowed-field,0.7,6.56
tillage-field-cultivate-tilled-field,0.65,6.09
tillage-seedbed-conditioner,0.9,8.43
tillage-other,0.92,8.59
planting-planter-seed-only-tilled-seedbed,0.4,3.75
planting-plant-with-fertilizer-and-pesticide-attachments-tilled-seedbed,0.55,5.15
planting-till-planter,0.55,5.15
planting-no-till-planter,0.45,4.22
planting-grain-drill,0.3,2.81
planting-broadcast-seeder,0.15,1.41
planting-air-drill,0.7,6.56
planting-other,0.44,4.15
weed-control-sprayer-trailer-type,0.1,0.94
weed-control-rotary-hoe,0.2,1.87
weed-control-row-crop-cultivator,0.4,3.75
weed-control-other,0.23,2.19
harvesting-mower,0.3,2.81
harvesting-mower-conditioner-pto,0.55,5.15
harvesting-self-propelled-windrower,0.45,4.22
harvesting-rake,0.25,2.34
harvesting-baler,0.4,3.75
forage-harvester-green-forage,0.85,7.96
forage-harvester-haylage,1.15,10.77
forage-harvester-corn-silage,3.25,30.45
forage-harvester-high-moisture-ground-ear-corn,1.7,15.93
forage-blower-green-forage,0.3,2.81
forage-blower-haylage,0.25,2.34
forage-blower-corn-silage,1.25,11.71
forage-blower-high-moisture-ground-ear-corn,0.4,3.75
harvesting-combine-soybeans,1,9.37
harvesting-combine-corn,1.45,13.58
hauling-green-forage,0.3,2.81
hauling-haylage,0.2,1.87
hauling-corn-silage,1.25,11.71
hauling-corn-grain,0.2,1.87
Hauling-soybeans,0.08,0.75
harvesting-other,0.78,7.3
