species,group_species,type,dry_c,r_s_ratio (kg/kg),mature_age (year),allom_par_a,allom_par_b,fine_tot_r_ratio (kg/kg),turnover_bg (y-1),turnover_ag (y-1),pruning_ag (kg/kg)
other herbaceous,herbaceous perennials - other,herb,0.5,2.83,0,,,0.3,0.88,0.2,
blueberry,bushes/shrubs - blueberry,shrub,0.5,2.83,0,,,0.3,0.88,0.1,
broom,bushes/shrubs - broom,shrub,0.5,2.83,0,,,0.3,0.88,0.15,
chamise/greasewood,bushes/shrubs - chamise/greasewood,shrub,0.5,2.83,0,,,0.3,0.88,0.1,
heather/erica,bushes/shrubs - heather/erica,shrub,0.5,2.83,0,,,0.3,0.88,0.175,
laustrine,bushes/shrubs - laustrine,shrub,0.5,2.83,0,,,0.3,0.88,0.15,
lavender,bushes/shrubs - lavender,shrub,0.5,2.83,0,,,0.3,0.88,0.1,
lentisc/mastic,bushes/shrubs - lentisk/mastic,shrub,0.5,2.83,0,,,0.3,0.88,0.1,
rosemary,bushes/shrubs - rosemary,shrub,0.5,2.83,0,,,0.3,0.88,0.1,
sagebrush,bushes/shrubs - sagebrush,shrub,0.5,2.83,0,,,0.3,0.88,0.15,
almond,nut tree - almond,tree,0.5,0.56,7,0.1972,2.2865,0.3,0.88,0.02,0.125
apple,fruit tree - apple,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.15
apricot,fruit tree - apricot,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.075
ash,tree - ash,tree,0.5,0.5,25,0.0511,2.8048,0.3,0.88,0.03,0.075
avocado,tree - avocado,tree,0.5,0.27,15,0.0638,2.5435,0.3,0.88,0.02,0.075
broad-leaved (general),tree - broad-leaved (general),tree,0.5,0.46,20,0.1355,2.3625,0.3,0.88,0.035,0.1
carob,tree - carob,tree,0.5,0.8,20,0.1355,2.3625,0.3,0.88,0.015,0.075
cherry,fruit tree - cherry,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.02,0.075
chestnut,nut tree - chestnut,tree,0.5,0.77,20,0.1236,2.3929,0.3,0.88,0.03,0.1
conifer (general),tree - conifer (general),tree,0.5,0.26,30,0.1141,2.3786,0.3,0.88,0.035,0.1
cork oak,tree - cork oak,tree,0.5,0.35,50,0.15,2.42,0.3,0.88,0.02,0.075
cypress,tree - cypress,tree,0.5,0.31,30,0.1141,2.3786,0.3,0.88,0.02,0.075
eucalyptus,tree - eucalyptus,tree,0.5,0.35,15,0.1717,2.2644,0.3,0.88,0.045,0.15
fig,fruit tree - fig,tree,0.5,0.27,15,0.091,2.472,0.3,0.88,0.03,0.075
fruit tree (general),fruit tree - other,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.02,0.125
hazelnut,nut tree - hazelnut,tree,0.5,0.46,7,0.2017,2.1924,0.3,0.88,0.02,0.075
holm oak,tree - holm oak,tree,0.5,0.32,40,0.1799,2.3699,0.3,0.88,0.03,0.075
lemon,fruit tree - lemon,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.075
mandarin,fruit tree - mandarin,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.075
mango,fruit tree - mango,tree,0.5,0.27,15,0.064,2.34,0.3,0.88,0.015,0.1
maritime pine,tree - maritime pine,tree,0.5,0.27,30,0.0785,2.422,0.3,0.88,0.03,0.1
oak (general),tree - oak (general),tree,0.5,0.35,40,0.1799,2.3699,0.3,0.88,0.035,0.075
olive,fruit tree - olive,tree,0.5,0.3,15,0.1202,2.2159,0.3,0.88,0.015,0.1
orange,fruit tree - orange,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.075
palm (general),palm - general,tree,0.5,0.2,20,0.0351,2.7483,0.3,0.88,0.02,0.075
peach,fruit tree - peach,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.15
pear,fruit tree - pear,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.15
pistachio,nut tree - pistachio,tree,0.5,0.27,8,0.053,2.283,0.3,0.88,0.015,0.075
pomegranate,fruit tree - pomegranate,tree,0.5,0.56,15,0.1355,2.3625,0.3,0.88,0.015,0.075
pomelo,fruit tree - pomelo,tree,0.5,0.56,15,0.1972,2.2865,0.3,0.88,0.015,0.1
poplar,tree - poplar,tree,0.5,0.36,15,0.1114,2.3538,0.3,0.88,0.035,0.075
sycamore,tree - sycamore,tree,0.5,0.46,25,0.0671,2.5751,0.3,0.88,0.03,0.075
walnut,nut tree - walnut,tree,0.5,0.46,15,0.1687,2.4675,0.3,0.88,0.02,0.075
grape vine,vine - grape,vine,0.5,0.84,5,0.158,1.258,0.3,0.88,0.075,0.075
vine (general),vine - other,vine,0.5,0.84,25,0.158,1.258,0.3,0.88,0.015,0.1
